date,run,production,faulty,workstation_downtime,supplier_occupancy,bottleneck_delay
2024-09-13,0,4,0,"[3.0253968208466, 2.2418736273591633, 5.390975420398046, 8.180835786267409, 6.698992657697758, 4.031562820066231]",3.240524655100417,0.0
2024-09-14,0,3,0,"[2.6551895305882236, 3.6978868357619947, 4.747698310968101, 4.965804597063391, 6.383367240824861, 6.459684004250916]",3.215298806831704,0.0
2024-09-15,0,4,0,"[2.6103443503245907, 3.4063906199365377, 3.714417058685568, 5.7267214445786925, 5.322138578275358, 6.638043368237825]",3.554461702716679,0.0
2024-09-16,0,4,0,"[2.399977374924, 3.6721731474441346, 3.300130912646752, 7.01907143900233, 6.418756974112282, 5.503719092986388]",3.699200913811034,0.0
2024-09-17,0,3,0,"[2.7849459406484325, 2.685871075471591, 4.947030723833185, 4.467141200881168, 6.251363542763626, 5.336342656405384]",3.1580582826452175,0.0
2024-09-18,0,4,0,"[4.224161277878824, 3.5477117766428132, 4.6272502562854925, 7.219932578117484, 5.809589883941237, 5.744559359546232]",3.2607193807021697,0.0
2024-09-19,0,4,0,"[2.623677764114265, 3.2724389264970313, 5.692123895955383, 6.0442915996131426, 4.668149334689686, 5.824737236361539]",3.3497318560912634,0.0
2024-09-20,0,4,0,"[2.648629479660128, 3.079049353496972, 4.204015107660396, 6.828964076489608, 5.445676527912919, 6.2976255729548445]",3.3474029219745853,0.0
2024-09-21,0,3,0,"[3.065426968361474, 2.2894371798079405, 4.6224291558075254, 6.634063221884144, 5.448757533108164, 4.379635548785242]",3.4085629636773103,0.0
2024-09-22,0,4,0,"[4.058122586040914, 3.752764732419942, 5.398788781983983, 6.018512629445966, 6.547230625415678, 4.74776448880199]",3.477694749922834,0.0
2024-09-23,0,4,0,"[3.8153226590786518, 3.852315300102523, 5.073809542753728, 7.210352764379657, 4.454348801303835, 5.571282461824582]",3.981972988355731,0.0
2024-09-24,0,3,0,"[3.571864124019524, 2.6542368666687004, 4.861166384554173, 5.9520892338691205, 7.23960530574216, 5.926776673479605]",3.0909594101438467,0.0
2024-09-25,0,4,0,"[2.804684055205832, 3.6346145354561967, 4.9236632890919125, 8.211517676306874, 7.277004780682911, 4.712989489495652]",2.7866379276742737,0.0
2024-09-26,0,3,0,"[2.486954471039741, 2.9789255054516928, 4.665996398307904, 8.199557334523725, 4.4370958583865825, 6.147430941390745]",3.5313242460914744,0.0
2024-09-27,0,3,0,"[4.273290126547616, 2.286368692705947, 3.3805432161763584, 7.047750074339488, 5.398588329208033, 5.384326709150927]",3.397187632368643,0.0
2024-09-28,0,3,0,"[3.1982081898062416, 2.6187701958645393, 5.638442763407737, 5.645106729905113, 4.7715788631536915, 4.6662550886856655]",3.2800790054500366,0.0
2024-09-29,0,3,0,"[2.622741130867085, 3.189783986497818, 4.047117834583176, 5.896049234395637, 6.779043819829307, 5.054516358049497]",3.778255885032596,0.0
2024-09-30,0,3,0,"[3.2206451667204465, 2.4795763958094956, 3.6949121695886213, 4.777061300947311, 6.061025356493152, 3.7420832032993183]",3.4443540776942756,0.0
2024-10-01,0,3,0,"[4.099864228115407, 3.3034977781987207, 5.557732302589304, 6.053010204688453, 7.679782902350682, 6.193726288227714]",2.876877760503356,0.0
2024-10-02,0,3,0,"[4.116066540611477, 3.873108356319403, 5.454052932582548, 4.525001285847813, 7.738104810632767, 4.618336412770578]",2.776505985110001,0.0
2024-10-03,0,4,0,"[3.164383585557993, 3.730207066568992, 4.86346992119201, 8.184710730069856, 5.935563911768456, 4.866837001453487]",2.828812624970177,0.0
2024-10-04,0,4,0,"[4.3871544267431215, 2.98043788447808, 5.733249977516504, 6.165709312673359, 5.385998395306811, 6.605366196986477]",3.8182281184669544,0.0
2024-10-05,0,3,0,"[3.8496630210555374, 3.2458973181275685, 3.579348202487531, 5.403506848846251, 4.936072392364491, 4.322383502962991]",4.0385165635433395,0.0
2024-10-06,0,4,0,"[4.065893033727247, 3.077318456664635, 4.422101896257844, 4.9874775204704775, 4.50126180626383, 5.262532297866181]",2.7638702613730395,0.0
2024-10-07,0,4,0,"[3.346958027463537, 3.2510335378541604, 4.517781730053957, 7.036347138659277, 4.632767844669877, 5.771251428917916]",3.5894076742546908,0.0
2024-10-08,0,4,0,"[3.5958810307235187, 2.3132822839326255, 4.715165428539688, 6.039191557710098, 7.6755551277556275, 3.8984977482414687]",3.397987192523906,0.0
2024-10-09,0,3,0,"[2.6762985260548784, 2.9689400422237573, 3.7398081747403618, 8.032152899003961, 5.270841677720266, 4.398851440503154]",3.89169558818941,0.0
2024-10-10,0,3,0,"[4.182941499756236, 3.6307066377009205, 5.393262091156193, 5.442350747546069, 5.9747372175375535, 6.6251643637615185]",3.1281032687785677,0.0
2024-10-11,0,4,0,"[2.5177660133575195, 3.243885614362175, 5.455645132678519, 7.15779694474899, 4.77601930793744, 4.725484095245325]",2.8224015656647556,0.0
2024-10-12,0,4,0,"[3.8332380429876567, 3.632352142037613, 4.895187082206392, 7.805961137577175, 7.3666142805863295, 4.185938250629601]",3.4413727011127517,0.0
2024-10-13,0,3,0,"[3.048654049452932, 3.2035927754266402, 5.225038731601885, 7.591822898670301, 4.3445386666769545, 5.961236957098632]",2.7647025239032836,0.0
2024-10-14,0,4,0,"[4.33085803717753, 2.717750536257386, 5.6226078802503405, 8.086881534441252, 5.1933231946271485, 5.832182003580352]",3.5471605821928303,0.0
2024-10-15,0,4,0,"[4.440693596846871, 2.988027500501133, 4.51551543501575, 6.249601814507841, 6.998797818836124, 4.194667434199575]",3.8935172727108265,0.0
2024-10-16,0,3,0,"[3.2907128550176967, 2.7586335944273337, 4.37741754642958, 7.836256549777745, 6.800467907586051, 4.0950732348018795]",3.7575495962021446,0.0
2024-10-17,0,4,0,"[2.4199432705492128, 2.5941845510365096, 5.243758919649602, 6.935649981183976, 6.222584452571969, 4.3245446575177215]",3.4087861617628463,0.0
2024-10-18,0,4,0,"[4.318212250367308, 3.0617956913881104, 4.591805469544234, 6.331913203884404, 5.523445158622125, 3.913722856222827]",3.628509247940361,0.0
2024-10-19,0,3,0,"[3.3158832198780948, 3.9394739742400513, 4.14068051059451, 6.837518159633049, 5.314423903740964, 4.1538874028945925]",3.0414992913894627,0.0
2024-10-20,0,4,0,"[2.4681625700633814, 2.4037056011784426, 4.399612110232817, 7.226763532108897, 4.884697777551341, 4.782472849494644]",3.316394211839117,0.0
2024-10-21,0,3,0,"[3.463367500419864, 2.2934512809605634, 4.230111651132974, 6.634565847546023, 5.600597504696752, 6.590193713128536]",3.4284523393632504,0.0
2024-10-22,0,4,0,"[2.7659419488490267, 2.918911028390954, 5.359906279775024, 4.902798759407962, 6.110451956856814, 6.460673696988425]",3.1662122851010146,0.0
2024-10-23,0,3,0,"[4.300369790513647, 2.8904394451449975, 5.862200729241709, 7.299870875311156, 5.5206664743456555, 4.009706062799478]",3.3945309800544026,0.0
2024-10-24,0,4,0,"[2.610118303034484, 4.036345821973607, 5.9857250354093825, 4.775742340315094, 4.949060566396153, 6.684275595464148]",4.061023063873499,0.0
2024-10-25,0,4,0,"[3.7754422313683933, 3.306671982425953, 4.638432948749877, 7.410336179218825, 6.131774078999786, 3.8834195490164194]",2.900966373936428,0.0
2024-10-26,0,4,0,"[3.278398782788949, 3.615988362795806, 4.8389805562021335, 6.174205385629725, 4.571057246907511, 5.1935175808054606]",4.058140205752715,0.0
2024-10-27,0,3,0,"[2.9416471576707046, 3.054544754698443, 5.00405212831205, 7.3468797713410945, 4.234985224166984, 4.127675732019336]",3.9926123672104317,0.0
2024-10-28,0,4,0,"[3.705237735814379, 3.776302691494839, 5.900240776862187, 5.6390201981192885, 4.348732212094267, 5.893999213672641]",3.75696682635198,0.0
2024-10-29,0,4,0,"[3.222742195417174, 2.2606260885379195, 5.3553735335941655, 7.875685076864686, 6.748997380134225, 3.8162606130616927]",3.5071959322482016,0.0
2024-10-30,0,3,0,"[2.40237549069309, 2.508433950672461, 5.322392572137093, 4.516610240554964, 4.89601553452973, 3.756288388213463]",3.2232936833114936,0.0
2024-10-31,0,3,0,"[3.883682558077944, 3.5969759432962998, 5.590333909916964, 6.973609549198501, 6.133528227940457, 5.3507322435168145]",3.0866559561282845,0.0
2024-11-01,0,4,0,"[3.1091139696489813, 2.3440721600995316, 5.091683477143812, 5.253017603111969, 5.901918696567255, 6.584547295669756]",3.7590891586775936,0.0
2024-11-02,0,3,0,"[3.3342796217938764, 2.7368878125922276, 4.905413075361578, 6.4828704483415365, 6.953932041295566, 5.290780787258796]",2.8782834014311613,0.0
2024-11-03,0,3,0,"[3.523574998061735, 2.4572820519559326, 3.772522484941447, 6.833014181081093, 6.414246940005655, 5.082722108725895]",3.300182010390098,0.0
2024-11-04,0,3,0,"[3.160504260796279, 2.8244609759216175, 5.393983248081277, 7.7565293613133, 4.446104687716912, 6.353968722711678]",2.8964262839386836,0.0
2024-11-05,0,3,0,"[3.4680321265363165, 3.02069585405002, 5.3986928175560305, 6.548903920262546, 5.03423267609461, 4.496595711726331]",3.5976686385761476,0.0
2024-11-06,0,3,0,"[2.6963644466604517, 4.02951185856964, 5.865744541195814, 4.992623337197808, 5.9140623426382914, 4.832597806291561]",3.0696737265848237,0.0
2024-11-07,0,3,0,"[2.483269313743308, 2.5427742346105453, 3.7184737472789555, 7.457456085559163, 5.119196103394263, 3.773366272570976]",3.743034045571282,0.0
2024-11-08,0,3,0,"[4.039838257467101, 3.770765315396922, 4.403040359691034, 7.858231512567485, 6.429982880778328, 5.322780542440616]",3.123236456606896,0.0
2024-11-09,0,4,0,"[2.490286800753283, 2.3187082338763583, 3.3216607679955903, 4.532877283155804, 5.867282130575098, 4.596321810131511]",2.7771909559675727,0.0
2024-11-10,0,3,0,"[4.024425958031876, 3.6791613512462873, 5.170525497930487, 7.266611712864837, 5.074013850715823, 6.665098903300305]",3.7306117950156454,0.0
2024-11-11,0,4,0,"[2.835114085535183, 2.246933641312001, 3.3363345288098327, 6.601348540754591, 4.4575648646966215, 6.129172729077085]",3.8595004312451144,0.0
2024-11-12,0,4,0,"[2.794887303543547, 3.118949215764806, 3.528820717891223, 7.652751601819231, 7.298673050254282, 5.964312250423909]",3.1965301417211758,0.0
2024-11-13,0,4,0,"[2.9392661746069546, 3.117645504042986, 4.848650752959794, 4.483097209305641, 6.041448373334366, 5.036587529160293]",3.651780573554753,0.0
2024-11-14,0,4,0,"[2.4845019905590835, 3.024762602308736, 3.294916379541443, 6.376741527299732, 6.224622111595615, 5.947663210466992]",3.078922240129538,0.0
2024-11-15,0,3,0,"[2.441781055519563, 2.9919036379348003, 3.584550024476061, 7.9108261143144, 4.971799241456896, 5.116264477854044]",3.6075601105268533,0.0
2024-11-16,0,4,0,"[3.0733845384858816, 2.411413693726749, 4.296417686069767, 4.94947987827066, 4.947471842925457, 6.319844998008334]",2.9051914352052046,0.0
2024-11-17,0,4,0,"[3.5659491915470256, 3.5806660450662284, 5.308013485207129, 5.85664384120116, 5.677167606161264, 6.4833332040534115]",3.717710763355954,0.0
2024-11-18,0,3,0,"[3.304183741094417, 2.88352688358829, 3.726775149768313, 7.855653292286611, 5.0426511237579925, 6.5121950467477605]",3.5050151849740434,0.0
2024-11-19,0,3,0,"[4.002861222315732, 2.60379084556038, 4.90594686972143, 5.299837277655647, 6.9784432789366235, 5.949579456305571]",4.014951988820665,0.0
2024-11-20,0,3,0,"[3.1380880236387307, 3.6408181194681672, 3.25252873814186, 7.621822408596404, 5.115303284062331, 4.179398533691917]",3.5317273375802416,0.0
2024-11-21,0,4,0,"[2.685921009337038, 2.6876033861992124, 5.855082292864451, 6.487073838539558, 6.15231172415897, 5.710489858871279]",3.3565559728038123,0.0
2024-11-22,0,4,0,"[3.4413545925471993, 2.872328272843753, 5.902233235913368, 6.799257967095137, 6.541675415327756, 5.852088552402356]",3.507283920821465,0.0
2024-11-23,0,3,0,"[4.187822284837517, 2.4342095887791637, 5.968796633686252, 4.844915324807329, 6.096115002354282, 5.293635273485646]",3.406493197122966,0.0
